;155814;601934;LEC;;SUIPACHENSE YEF;0;:;25;6;2;3;0;:;30;2;:;5;30000;240;1680;1740;50;2,9%;MO;TEVEZ;1;1/10/2020;;156185;602244;PAÑAL;;ODLIGHT M X 8 ;0;:;15;7;;;0;:;20;1;:;35;31000;326;1021;1030;15;1,5%;MO;GALVAN;1;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;310110;602858;LLEC;;SUIPACHENSE LECHE EN POLVO X 400;;:;;;;;;:;;0;:;55;14200;258;162;162;5;3,1%;RB;CORVALAN;;2/10/2020;;155807;600298;BACK;;LENTERDIT X 265;0;:;15;1;;;0;:;20;3;:;10;75000;395;1637;1655;25;1,5%;RB;MARINO;1;5/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;155751;601991;YOGUR;;TREGAR YOGUR BEBIBLE SEMIDESC VAINILLA;0;:;25;7;;3;0;:;35;3;:;30;55000;262;3048;3096;54;1,7%;MO;TEVEZ;1;1/10/2020;;156184;602106;PAÑAL;;42109492 ODLIGHT G X 8 ;0;:;20;7;7;;0;:;35;2;:;15;43000;319;1373;1447;76;5,3%;MO;GALVAN;1;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;156071;602836;LLEC;;STABILO NAC. DESCREM. X 200 GRS;0;:;20;8;;4;0;:;40;1;:;40;23000;230;307;307;15;4,9%;RB;CORVALAN;1;2/10/2020;;155807;600298;BACK;;LENTERDIT X 265;;:;;;;;;:;;4;:;30;130000;481;2720;2750;22;0,8%;MO;HAEDO;;5/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;155787;601997;BACK;; 145 MM LENTERDIT;0;:;45;2;;2;0;:;30;3;:;35;58000;270;1267;1260;15;1,2%;RT;KUHN;1;1/10/2020;;156184;602106;PAÑAL;;42109492 ODLIGHT G X 8 ;;:;;;;;;:;;0;:;15;3500;233;210;210;0;0,0%;RT;GIMENEZ;;3/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;156070;601587;LLEC;;LEITE EN PO X 200 NO INST.;0;:;30;8;;5;0;:;35;3;:;20;50000;250;698;636;0;0,0%;RB;CORVALAN;1;2/10/2020;;155810;9669;BACK;;LENTERDIT X 210;;:;;;;;;:;;3;:;30;97000;462;2153;2142;16;0,7%;MO;HAEDO;;5/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;155765;602824;PAÑAL;;ESTRELLA BABY XG X 36;0;:;30;8;8;7;;:;;;:;;;0;;;;0,0%;RT;KUHN;0,5;1/10/2020;;156178;600447;PAÑAL;;HGAS KINGDOM P X 40;0;:;30;8;8;4;0;:;35;0;:;35;9000;257;409;450;60;13,3%;RT;GIMENEZ;1;3/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;156070;601587;LLEC;;LEITE EN PO X 200 NO INST.;;:;;;;;;:;;8;:;0;95000;198;1172;1060;14;1,3%;MO;TEVEZ;;2/10/2020;;155810;9669;BACK;;LENTERDIT X 210;;:;;;;;;:;;7;:;50;201000;428;4333;4328;15;0,3%;RT;KUHN;;5/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;155765;602824;PAÑAL;;ESTRELLA BABY XG X 36;;:;;;;;1;:;5;4;:;25;55000;208;3966;3939;25;0,6%;CM;MARINO;0,5;1/10/2020;;310114;601414;LAM;;IMPRESO TOYOTA GLOBITOS;0;:;39;1;;;0;:;33;3;:;33;72000;338;2134;2155;20;0,9%;RT;GIMENEZ;1;3/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156070;601587;LLEC;;LEITE EN PO X 200 NO INST.;;:;;;;;;:;;4;:;15;42000;165;582;552;0;0,0%;RT;REYES;;3/10/2020;;310117;9669;BACK;;LENTERDIT X 210;;:;;;;;;:;;0;:;10;;0;;;;0,0%;RT;KUHN;;5/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;155787;601997;BACK;; 145 MM LENTERDIT;0;:;40;8;8;1;0;:;25;1;:;25;25000;294;370;388;22;5,7%;MO;HAEDO;1;1/10/2020;;155939;602687;FILM;;LAMINA MERCADO LIBRE Nº1;0;:;15;3;3;3;0;:;20;0;:;45;4000;89;180;210;30;14,3%;RT;GIMENEZ;1;3/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156062;602631;LLEC;;ALMOHADA MARTONA X 500 MIN DESC;0;:;50;7;7;3;0;:;50;2;:;5;20000;160;304;297;0;0,0%;RT;REYES;1;3/10/2020;;310117;9669;BACK;;LENTERDIT X 210;;:;;;;;;:;;8;:;0;194500;405;3367;3429;62;1,8%;RB;MARINO;;6/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;155787;601997;BACK;; 145 MM LENTERDIT;0;:;40;2;;2;0;:;40;2;:;40;39000;244;833;800;0;0,0%;MO;MACIEL;1;1/10/2020;;155939;602687;FILM;;LAMINA MERCADO LIBRE Nº1;;:;;;;;;:;;8;:;0;142000;296;6143;6154;11;0,2%;RB;PEREZ;;5/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156062;602631;LLEC;;ALMOHADA MARTONA X 500 MIN DESC;;:;;;;;;:;;8;:;0;96500;201;1131;1060;0;0,0%;RB;CORVALAN;;5/10/2020;;310117;9669;BACK;;LENTERDIT X 210;;:;;;;;;:;;6;:;20;170000;447;2913;2926;28;1,0%;MO;HAEDO;;6/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;155590;602638;BACK;;FRONTAL NONISEC ULTRA X 140 MM;0;:;10;1;;;0;:;5;3;:;55;95300;406;1519;1530;35;2,3%;RT;GIMENEZ;1;2/10/2020;;155939;602687;FILM;;LAMINA MERCADO LIBRE Nº1;;:;;;;;;:;;1;:;10;23500;336;893;900;8;0,9%;MO;GALVAN;;5/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156062;602631;LLEC;;ALMOHADA MARTONA X 500 MIN DESC;;:;;;;;;:;;8;:;0;110000;229;1364;1272;0;0,0%;MO;TEVEZ;;5/10/2020;;155820;602479;GASEOSAS;;AQ MANZANA NI 6X1500;0;:;25;3;3;3;0;:;25;0;:;50;17000;340;911;968;56;5,8%;MO;HAEDO;1;6/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;310063;601669;BACK;;IMPRESO ZALEA NONISEC X 590MM corte en linea;0;:;10;1;;1;0;:;10;3;:;30;78600;374;1057;1060;15;1,4%;RT;GIMENEZ;1;2/10/2020;;155933;602689;FILM;;LAMINA MERCADO LIBRE Nº3;0;:;10;3;;;0;:;20;4;:;20;59800;230;4237;4361;60;1,4%;MO;GALVAN;1;5/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156062;602631;LLEC;;ALMOHADA MARTONA X 500 MIN DESC;;:;;;;;;:;;1;:;10;15000;214;226;212;0;0,0%;RT;REYES;;5/10/2020;;155820;602479;GASEOSAS;;AQ MANZANA NI 6X1500;;:;;;;;;:;;0;:;30;5500;183;320;316;0;0,0%;RT;KUHN;;6/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;310063;601669;BACK;;IMPRESO ZALEA NONISEC X 590MM corte en linea;;:;;;;;;:;;0;:;40;17000;425;152;153;2;1,3%;RB;GIMENEZ;;2/10/2020;;155927;601939;BACK;;POUCH TRANSP. IMPR REW REG 150/23;0;:;30;3;1;3;0;:;15;1;:;15;28000;373;734;641;0;0,0%;MO;GALVAN;1;5/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156192;601805;YOGUR;;YOGUR ILOLAY PARC DESC DURAZNO;0;:;45;5;;5;0;:;40;3;:;45;55000;244;3238;3295;60;1,8%;RT;REYES;1;5/10/2020;;155781;602486;GASEOSAS;;AQ MANZANA 6X2250;0;:;15;3;3;;0;:;30;1;:;15;20500;273;1146;1140;10;0,9%;RT;KUHN;1;6/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
